Index,Snore_Data,RED,IR
3471,-790,23198,27474
3472,3201,23196,27481
3473,-6129,23202,27487
3474,-2430,23200,27500
3475,3100,23208,27509
3476,-5125,23206,27515
3477,-3191,23213,27522
3478,-2408,23216,27523
3479,95,23211,27525
3480,-3744,23217,27523
3481,1973,23212,27517
3482,-1234,23209,27516
3483,4614,23209,27506
3484,876,23199,27512
3485,283,23204,27500
3486,2691,23207,27504
3487,2567,23201,27504
3488,-1057,23204,27508
3489,-1407,23204,27510
3490,-1475,23209,27513
3491,-7839,23206,27517
3492,-5482,23209,27518
3493,-7110,23216,27527
3494,-9620,23221,27532
3495,-4318,23217,27538
3496,-3460,23223,27543
3497,-8320,23229,27553
3498,-6383,23226,27558
3499,-5825,23231,27566
3500,479,23233,27574
3501,-304,23242,27584
3502,-9224,23241,27590
3503,-671,23244,27596
3504,-2408,23244,27601
3505,-3111,23249,27606
3506,-1391,23249,27617
3507,-5807,23257,27616
3508,-995,23257,27628
3509,-4281,23259,27631
3510,-2275,23264,27633
3511,-2057,23264,27640
3512,-488,23260,27647
3513,3428,23265,27651
3514,1962,23266,27654
3515,-969,23267,27660
3516,2795,23270,27667
3517,5040,23272,27665
3518,-1996,23272,27673
3519,1315,23274,27672
3520,-1626,23278,27684
3521,496,23281,27686
3522,4408,23278,27687
3523,-3958,23274,27692
3524,-3251,23282,27696
3525,3889,23282,27701
3526,-3848,23285,27704
3527,1514,23284,27709
3528,3772,23290,27713
3529,-4294,23295,27719
3530,2601,23292,27726
3531,2306,23295,27733
3532,-2728,23304,27743
3533,3672,23301,27744
3534,-2716,23305,27756
3535,-790,23308,27761
3536,3201,23311,27756
3537,-6129,23301,27749
3538,-2430,23289,27719
3539,3100,23271,27678
3540,-5125,23255,27631
3541,-3191,23238,27575
3542,-2408,23222,27548
3543,95,23209,27520
3544,447,23205,27494
3545,-277,23198,27468
3546,-746,23188,27465
3547,2057,23194,27453
3548,-1199,23190,27454
3549,-5906,23193,27454
3550,-4195,23197,27461
3551,3363,23199,27467
3552,-2237,23202,27477
3553,-3787,23199,27489
3554,-3550,23210,27491
3555,2170,23209,27500
3556,232,23213,27504
3557,-5568,23217,27506
3558,-1205,23212,27512
