Index,Snore_Data,RED,IR
5959,4352,26794.0,29732.0
5960,1237,26793.0,29740.0
5961,-3288,26799.0,29731.0
5962,1706,26789.0,29724.0
5963,4783,26792.0,29728.0
5964,-3391,26789.0,29718.0
5965,3551,26782.0,29720.0
5966,11117,26787.0,29706.0
5967,6793,26783.0,29705.0
5968,4035,26778.0,29696.0
5969,1523,26781.0,29699.0
5970,27,26782.0,29692.0
5971,11280,26785.0,29698.0
5972,7971,26778.0,29694.0
5973,-3968,26785.0,29701.0
5974,-5638,26784.0,29695.0
5975,-9025,26784.0,29701.0
5976,-4825,26778.0,29705.0
5977,343,26785.0,29704.0
5978,3680,26786.0,29708.0
5979,1677,26781.0,29698.0
5980,3902,26780.0,29704.0
5981,42,26781.0,29693.0
5982,-7108,26784.0,29694.0
5983,6677,26775.0,29696.0
5984,6173,26787.0,29692.0
5985,-1665,26781.0,29696.0
5986,3377,26782.0,29693.0
5987,2091,26780.0,29702.0
5988,-420,26787.0,29694.0
5989,-3836,26778.0,29699.0
5990,-646,26781.0,29698.0
5991,-3527,26784.0,29702.0
5992,1000,26783.0,29706.0
5993,-9988,26789.0,29707.0
5994,-5721,26783.0,29712.0
5995,-1518,26791.0,29710.0
5996,3864,26794.0,29711.0
5997,6439,26791.0,29715.0
5998,-705,26794.0,29725.0
5999,7047,26794.0,29724.0
6000,4903,26796.0,29725.0
6001,-296,26797.0,29731.0
6002,-491,26799.0,29728.0
6003,3483,26801.0,29735.0
6004,-1927,26802.0,29736.0
6005,8782,26797.0,29739.0
6006,6745,26809.0,29748.0
6007,-2087,26802.0,29746.0
6008,3434,26805.0,29755.0
6009,3873,26802.0,29755.0
6010,6604,26813.0,29754.0
6011,570,26804.0,29756.0
6012,139,26811.0,29764.0
6013,-3276,26809.0,29766.0
6014,2077,26809.0,29763.0
6015,501,26811.0,29777.0
6016,-6025,26817.0,29777.0
6017,-2752,26822.0,29781.0
6018,-4667,26816.0,29776.0
6019,2220,26817.0,29786.0
6020,-2390,26821.0,29790.0
6021,-16647,26818.0,29789.0
6022,-6638,26819.0,29796.0
6023,5448,26824.0,29801.0
6024,-10134,26829.0,29805.0
6025,-4415,26823.0,29807.0
6026,-8823,26833.0,29812.0
6027,-7402,26834.0,29814.0
6028,-4827,26830.0,29818.0
6029,-475,26832.0,29822.0
6030,-9377,26841.0,29833.0
6031,-6620,26841.0,29833.0
6032,5082,26843.0,29839.0
6033,-8622,26845.0,29841.0
6034,-3927,26847.0,29844.0
6035,-8843,26845.0,29846.0
6036,-4050,26849.0,29852.0
6037,-2106,26857.0,29857.0
6038,-9359,26854.0,29862.0
6039,-13357,26851.0,29872.0
6040,-7827,26857.0,29870.0
6041,3414,26855.0,29875.0
6042,-6370,26861.0,29873.0
6043,-2108,26859.0,29882.0
6044,589,26859.0,29889.0
6045,-1430,26864.0,29889.0
6046,-579,26863.0,29891.0
6047,-8582,26867.0,29902.0
6048,-2050,26866.0,29902.0
6049,2191,26867.0,29905.0
6050,-178,26868.0,29914.0
6051,-9279,26876.0,29912.0
6052,-2713,26868.0,29917.0
6053,5949,26875.0,29922.0
6054,-6391,26882.0,29921.0
6055,-12300,26877.0,29930.0
6056,-8225,26883.0,29933.0
6057,-8226,26879.0,29939.0
6058,-2396,26884.0,29938.0
6059,-5813,26889.0,29947.0
6060,-10580,26889.0,29948.0
6061,-5205,26895.0,29953.0
6062,-13363,26893.0,29958.0
6063,-4953,26890.0,29963.0
6064,-7110,26894.0,29965.0
6065,-12643,26898.0,29963.0
6066,-5497,26891.0,29962.0
6067,-7572,26887.0,29956.0
6068,-6509,26886.0,29942.0
6069,-1412,26882.0,29923.0
6070,7929,26869.0,29909.0
6071,1866,26864.0,29889.0
6072,7854,26862.0,29867.0
6073,2037,26855.0,29851.0
6074,4782,26851.0,29840.0
6075,5325,26848.0,29835.0
6076,-2171,26842.0,29826.0
6077,12367,26843.0,29827.0
6078,-2124,26836.0,29819.0
6079,5016,26841.0,29818.0
6080,8421,26839.0,29816.0
